arrival_time,charging_demand,impatience_factor,charging_rate,intended_stay,actual_stay,overstay_duration,departure_time,charging_completion_time,is_overstaying,charging_duration
7.4257704688209465,26.41958131994473,17.606230962327086,20.0,2.4482776516967895,2.4482776516967895,0.0,9.874048120517736,8.746749534818182,False,1.3209790659972365
7.667150720622174,53.462442059104305,12.263449272300754,20.0,1.954607120142387,2.6731221029552152,0.7185149828128283,10.34027282357739,10.34027282357739,True,2.6731221029552152
7.824630659694254,49.57746654746843,24.138055334151915,20.0,1.020162759825407,2.478873327373422,1.4587105675480148,10.303503987067675,10.303503987067675,True,2.478873327373422
8.080727101708899,22.312105399823334,25.395874867529464,20.0,1.9245791679766897,1.9245791679766897,0.0,10.005306269685589,9.196332371700066,False,1.1156052699911667
8.145525596844148,31.88527212888981,22.335916312826793,20.0,1.4005081483306836,1.5942636064444904,0.1937554581138068,9.73978920328864,9.73978920328864,True,1.5942636064444904
8.159722315579604,22.442861724193037,26.969475263774306,20.0,2.4837057867579846,2.4837057867579846,0.0,10.643428102337587,9.281865401789256,False,1.1221430862096518
9.236196988256586,46.64392335870548,20.682651148323934,20.0,1.7719862945701725,2.332196167935274,0.5602098733651013,11.56839315619186,11.56839315619186,True,2.332196167935274
9.372404909832895,20.843600270694374,15.739770931277446,20.0,3.2263441092102774,3.2263441092102774,0.0,12.598749019043172,10.414584923367613,False,1.0421800135347188
9.892331614292816,22.90955606661158,15.195141958014748,20.0,3.6337226440747643,3.6337226440747643,0.0,13.52605425836758,11.037809417623395,False,1.145477803330579
10.003709953446917,46.06291230558338,11.098808811291105,20.0,2.701390811534321,2.701390811534321,0.0,12.705100764981237,12.306855568726085,False,2.303145615279169
10.043929092155885,43.73086253979022,12.972511307120865,20.0,1.1796684444099945,2.1865431269895113,1.0068746825795167,12.230472219145396,12.230472219145396,True,2.1865431269895113
10.4399440107281,22.732131594453023,26.12130509860654,20.0,2.952833409929695,2.952833409929695,0.0,13.392777420657795,11.57655059045075,False,1.1366065797226512
10.709301040513122,56.48602178878328,18.561555812621858,20.0,2.1624866838895587,2.8243010894391642,0.6618144055496056,13.533602129952286,13.533602129952286,True,2.8243010894391642
10.740667269623577,43.03652282182041,15.669513571931692,20.0,3.5278363410127924,3.5278363410127924,0.0,14.268503610636369,12.892493410714597,False,2.1518261410910204
10.805613827762201,57.7818598889785,24.884732482617203,20.0,2.2589925294273847,2.889092994448925,0.6301004650215405,13.694706822211126,13.694706822211126,True,2.889092994448925
11.04655416541723,49.26048808219602,16.08322388715471,20.0,1.7989413780850594,2.463024404109801,0.6640830260247417,13.509578569527031,13.509578569527031,True,2.463024404109801
11.092542828992897,20.217428010417272,25.600606648196024,20.0,2.704341245066863,2.704341245066863,0.0,13.796884074059761,12.103414229513762,False,1.0108714005208637
11.142406566847317,55.73534946117277,25.764020860111664,20.0,2.9244676174734447,2.9244676174734447,0.0,14.066874184320762,13.929174039905956,False,2.7867674730586383
11.202055904247635,51.1796989180334,21.64954807992715,20.0,3.3513988699742834,3.3513988699742834,0.0,14.553454774221919,13.761040850149305,False,2.55898494590167
11.389306793506538,26.09597569387506,26.608268393885858,20.0,2.5283345409803264,2.5283345409803264,0.0,13.917641334486865,12.694105578200292,False,1.304798784693753
11.60374979331965,25.1663817531754,17.206751462223618,20.0,1.9757599480106776,1.9757599480106776,0.0,13.579509741330329,12.86206888097842,False,1.25831908765877
11.609960605134937,34.12184086398957,12.44691186320052,20.0,1.554507781155762,1.7060920431994784,0.15158426204371644,13.316052648334415,13.316052648334415,True,1.7060920431994784
11.668124245001218,28.240880595999116,23.702427629017546,20.0,2.93033714089451,2.93033714089451,0.0,14.598461385895728,13.080168274801174,False,1.4120440297999557
11.77294185119889,28.720668585302068,20.542981367680888,20.0,1.8942818286266088,1.8942818286266088,0.0,13.667223679825499,13.208975280463994,False,1.4360334292651034
11.952739298621651,29.488369820106882,11.226360187662605,20.0,3.6155394640675893,3.6155394640675893,0.0,15.568278762689241,13.427157789626996,False,1.4744184910053442
